"Participant.ID","class_number","Foundational","PopEco","Quant","group_5","group_3","group_4","metric","time","score","time_numeric","student_id"
"3d22f136",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Anxiety","pre",3,0,"3d22f136"
"3d22f136",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Anxiety","post",4,1,"3d22f136"
"3d22f136",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Math Skills","pre",1.75,0,"3d22f136"
"3d22f136",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Math Skills","post",3.125,1,"3d22f136"
"3d22f136",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Computing","pre",1.91666666666667,0,"3d22f136"
"3d22f136",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Computing","post",3.08333333333333,1,"3d22f136"
"44391174",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Anxiety","pre",2,0,"44391174"
"44391174",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Anxiety","post",4,1,"44391174"
"44391174",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Math Skills","pre",1.625,0,"44391174"
"44391174",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Math Skills","post",3,1,"44391174"
"44391174",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Computing","pre",1.08333333333333,0,"44391174"
"44391174",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Computing","post",3.66666666666667,1,"44391174"
"4f500035",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Anxiety","pre",3,0,"4f500035"
"4f500035",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Anxiety","post",4.5,1,"4f500035"
"4f500035",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Math Skills","pre",2.875,0,"4f500035"
"4f500035",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Math Skills","post",3.5,1,"4f500035"
"4f500035",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Computing","pre",1,0,"4f500035"
"4f500035",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Computing","post",4.25,1,"4f500035"
"5432ef61",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Anxiety","pre",2.5,0,"5432ef61"
"5432ef61",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Anxiety","post",4,1,"5432ef61"
"5432ef61",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Math Skills","pre",2.375,0,"5432ef61"
"5432ef61",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Math Skills","post",3.375,1,"5432ef61"
"5432ef61",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Computing","pre",1.5,0,"5432ef61"
"5432ef61",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Computing","post",3.33333333333333,1,"5432ef61"
"5d3d9aa0",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Anxiety","pre",2.5,0,"5d3d9aa0"
"5d3d9aa0",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Anxiety","post",4,1,"5d3d9aa0"
"5d3d9aa0",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Math Skills","pre",3.875,0,"5d3d9aa0"
"5d3d9aa0",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Math Skills","post",4.625,1,"5d3d9aa0"
"5d3d9aa0",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Computing","pre",2.33333333333333,0,"5d3d9aa0"
"5d3d9aa0",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Computing","post",3.25,1,"5d3d9aa0"
"66c48d9a",1,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational before advanced","Anxiety","pre",1.5,0,"66c48d9a"
"66c48d9a",1,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational before advanced","Anxiety","post",3,1,"66c48d9a"
"66c48d9a",1,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational before advanced","Math Skills","pre",1.25,0,"66c48d9a"
"66c48d9a",1,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational before advanced","Math Skills","post",3,1,"66c48d9a"
"66c48d9a",1,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational before advanced","Computing","pre",2.16666666666667,0,"66c48d9a"
"66c48d9a",1,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational before advanced","Computing","post",3.08333333333333,1,"66c48d9a"
"66c48d9a",2,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational before advanced","Anxiety","pre",1,0,"66c48d9a"
"66c48d9a",2,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational before advanced","Anxiety","post",2.5,1,"66c48d9a"
"66c48d9a",2,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational before advanced","Math Skills","pre",1.75,0,"66c48d9a"
"66c48d9a",2,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational before advanced","Math Skills","post",2.25,1,"66c48d9a"
"66c48d9a",2,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational before advanced","Computing","pre",1.41666666666667,0,"66c48d9a"
"66c48d9a",2,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational before advanced","Computing","post",2.91666666666667,1,"66c48d9a"
"683fd65d",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Anxiety","pre",3,0,"683fd65d"
"683fd65d",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Anxiety","post",4,1,"683fd65d"
"683fd65d",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Math Skills","pre",3,0,"683fd65d"
"683fd65d",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Math Skills","post",3.75,1,"683fd65d"
